Localized ID,Text,Image key,BGM key,Next ID,Coloring key
intro_jp,??????????????????,intro 1of2.jpeg,Intro BGM,intro_2_jp,"(0, 0, 0, 100)"
intro_2_jp,????????????????????????????,,,intro_3_jp,
intro_3_jp,?????????????????????????????,,,intro_4_jp,
intro_4_jp,?????????????????????????????????,,,intro_5_jp,
intro_5_jp,?????????????????????????????????,,,intro_6_jp,
intro_6_jp,??????????????????????????????????,,,intro_7_jp,
intro_7_jp,???????????????????????????,,,intro_8_jp,
intro_8_jp,??????????????????????????????,,,intro_9_jp,
intro_9_jp,???????????????????????,,,intro_10_jp,
intro_10_jp,????????????????????????,intro 2of2.jpeg,,intro_11_jp,"(255, 0, 0, 100)"
intro_11_jp,???????????????????????????,,,intro_12_jp,
intro_12_jp,????????????????,,,intro_13_jp,
intro_13_jp,???????????????????,,,intro_14_jp,
intro_14_jp,?????????????????,,,intro_15_jp,
intro_15_jp,???????????,,,,
,,,,,
intro_en,"Suddenly exerting its dominance over a megalopolis,",intro 1of2.jpeg,Intro BGM,intro_2_en,"(0, 0, 0, 100)"
intro_2_en,a mountain had become viral in the world of chaos.,,,intro_3_en,
intro_3_en,Nobody doubted a rumor of it achieving a dream of climbers at the summit.,,,intro_4_en,
intro_4_en,"Despite the temporary public attention, its true self ended up remaining unrevealed, however.",,,intro_5_en,
intro_5_en,"Its moving terrain made it impossible for challengers to pursue their dream,",,,intro_6_en,
intro_6_en,especially after the location is colonized by supernaturals that even state force cannot evict.,,,intro_7_en,
intro_7_en,It's objectively considered quite normal to step back and let it go.,,,intro_8_en,
intro_8_en,A long time has passed since when another peace was restored.,intro 2of2.jpeg,,intro_9_en,"(255, 0, 0, 100)"
intro_9_en,"There comes a boy, who seems not able to hide his pleasure from finding out this exisitence.",,,intro_10_en,
intro_10_en,"He is Kaguo, the protagonist of this series.",,,intro_11_en,
intro_11_en,How had he fallen out of trend?,,,intro_12_en,
intro_12_en,What secret strategy he has come up with?,,,intro_13_en,
intro_13_en,Let the story begin.,,,,
